Time [s],Channel 0
2.412261875,1
2.422237000,0
2.422246875,1
2.432220958,0
2.432230833,1
2.442205917,0
2.442215792,1
2.452191792,0
2.452201667,1
2.462176167,0
2.462186042,1
2.472159750,0
2.472169625,1
2.482144333,0
2.482154208,1
2.492129667,0
2.492139542,1
2.502115208,0
2.502125083,1
2.512100708,0
2.512110583,1
2.522086375,0
2.522096250,1
2.532073000,0
2.532082875,1
2.542056958,0
2.542066833,1
2.552041417,0
2.552051292,1
2.562025083,0
2.562034958,1
2.572007833,0
2.572017708,1
2.581992042,0
2.582001917,1
2.591976833,0
2.591986708,1
2.601962667,0
2.601972542,1
2.611948542,0
2.611958375,1
2.621933500,0
2.621943375,1
2.631918875,0
2.631928708,1
2.641904417,0
2.641914292,1
2.651889708,0
2.651899583,1
2.661875792,0
2.661885667,1
2.671861667,0
2.671871542,1
2.681846042,0
2.681855917,1
2.691831583,0
2.691841458,1
2.701817292,0
2.701827125,1
2.711803625,0
2.711813458,1
2.721789167,0
2.721799042,1
2.731775333,0
2.731785208,1
2.741762000,0
2.741771875,1
2.751747042,0
2.751756917,1
2.761732250,0
2.761742083,1
2.771716833,0
2.771726667,1
2.781701583,0
2.781711458,1
2.791686292,0
2.791696167,1
2.801671625,0
2.801681500,1
2.811658250,0
2.811668125,1
2.821644125,0
2.821654000,1
2.831629250,0
2.831639125,1
2.841614208,0
2.841624083,1
2.851600375,0
2.851610250,1
2.861586167,0
2.861596042,1
2.871572667,0
2.871582542,1
2.881559958,0
2.881569833,1
2.891546625,0
2.891556500,1
2.901532875,0
2.901542750,1
2.911519958,0
2.911529833,1
2.921506875,0
2.921516708,1
2.931492625,0
2.931502500,1
2.941479333,0
2.941489208,1
2.951465500,0
2.951475375,1
2.961451625,0
2.961461500,1
2.971438292,0
2.971448167,1
2.981424208,0
2.981434083,1
2.991410458,0
2.991420292,1
3.001397458,0
3.001407333,1
3.011384292,0
3.011394167,1
3.021370042,0
3.021379917,1
3.031356333,0
3.031366208,1
3.041343208,0
3.041353083,1
3.051330500,0
3.051340375,1
3.061317833,0
3.061327708,1
3.071304750,0
3.071314625,1
3.081289917,0
3.081299792,1
3.091276583,0
3.091286417,1
3.101263500,0
3.101273375,1
3.695063583,0
3.695073583,1
3.705046042,0
3.705055917,1
3.715028542,0
3.715038417,1
3.725013208,0
3.725023083,1
3.734998333,0
3.735008208,1
3.744982792,0
3.744992667,1
3.754967083,0
3.754976958,1
3.764951583,0
3.764961458,1
3.774936208,0
3.774946083,1
3.784920417,0
3.784930292,1
3.794905167,0
3.794915042,1
3.804889583,0
3.804899458,1
3.814874125,0
3.814884000,1
3.824857458,0
3.824867333,1
3.834841083,0
3.834850958,1
3.844825833,0
3.844835708,1
3.854811750,0
3.854821625,1
3.864797833,0
3.864807708,1
3.874784833,0
3.874794708,1
3.884770042,0
3.884779917,1
3.894754833,0
3.894764708,1
3.904740167,0
3.904750042,1
3.914725250,0
3.914735083,1
3.924710417,0
3.924720250,1
3.934695542,0
3.934705417,1
3.944681583,0
3.944691458,1
3.954666583,0
3.954676458,1
3.964650708,0
3.964660583,1
3.974635375,0
3.974645250,1
3.984621000,0
3.984630875,1
3.994608083,0
3.994617958,1
4.004594917,0
4.004604792,1
4.014579708,0
4.014589583,1
4.024565333,0
4.024575208,1
4.034551292,0
4.034561167,1
4.044537708,0
4.044547583,1
4.054523250,0
4.054533125,1
4.064509083,0
4.064518958,1
4.074493750,0
4.074503625,1
4.084476875,0
4.084486750,1
4.094460708,0
4.094470583,1
4.104444250,0
