Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
7.216750958,1,1,1,0,1,1
7.216771417,1,1,1,1,1,1
7.216775583,1,1,1,1,0,1
7.216814292,1,1,1,1,1,1
7.216818417,1,1,1,1,1,0
7.216892125,1,1,1,1,1,1
7.216897000,0,1,1,1,1,1
7.216902208,1,1,1,1,1,1
7.216906333,1,0,1,1,1,1
7.216913833,1,1,1,1,1,1
7.216917917,1,1,0,1,1,1
7.216930000,1,1,1,1,1,1
7.216934167,1,1,1,0,1,1
7.216954625,1,1,1,1,1,1
7.216958792,1,1,1,1,0,1
7.216997500,1,1,1,1,1,1
7.217001625,1,1,1,1,1,0
7.217075333,1,1,1,1,1,1
7.217080208,0,1,1,1,1,1
7.217085417,1,1,1,1,1,1
7.217089542,1,0,1,1,1,1
7.217097042,1,1,1,1,1,1
7.217101167,1,1,0,1,1,1
7.217113250,1,1,1,1,1,1
7.217117375,1,1,1,0,1,1
7.217137833,1,1,1,1,1,1
7.217142000,1,1,1,1,0,1
7.217180708,1,1,1,1,1,1
7.217184833,1,1,1,1,1,0
7.217258542,1,1,1,1,1,1
7.217263417,0,1,1,1,1,1
7.217268667,1,1,1,1,1,1
7.217272750,1,0,1,1,1,1
7.217280292,1,1,1,1,1,1
7.217284375,1,1,0,1,1,1
7.217296458,1,1,1,1,1,1
7.217300583,1,1,1,0,1,1
7.217321042,1,1,1,1,1,1
7.217325208,1,1,1,1,0,1
7.217363917,1,1,1,1,1,1
7.217368042,1,1,1,1,1,0
7.217441958,1,1,1,1,1,1
7.217447042,0,1,1,1,1,1
7.217452583,1,1,1,1,1,1
7.217456708,1,0,1,1,1,1
7.217464250,1,1,1,1,1,1
7.217468333,1,1,0,1,1,1
7.217480417,1,1,1,1,1,1
7.217484583,1,1,1,0,1,1
7.217505042,1,1,1,1,1,1
7.217509167,1,1,1,1,0,1
7.217547875,1,1,1,1,1,1
7.217552000,1,1,1,1,1,0
7.217625750,1,1,1,1,1,1
7.217630625,0,1,1,1,1,1
7.217635833,1,1,1,1,1,1
7.217639958,1,0,1,1,1,1
7.217647458,1,1,1,1,1,1
7.217651583,1,1,0,1,1,1
7.217663625,1,1,1,1,1,1
7.217667792,1,1,1,0,1,1
7.217688250,1,1,1,1,1,1
7.217692417,1,1,1,1,0,1
7.217731125,1,1,1,1,1,1
7.217735250,1,1,1,1,1,0
7.217809000,1,1,1,1,1,1
7.217813833,0,1,1,1,1,1
7.217819083,1,1,1,1,1,1
7.217823208,1,0,1,1,1,1
7.217830708,1,1,1,1,1,1
7.217834792,1,1,0,1,1,1
7.217846875,1,1,1,1,1,1
7.217851042,1,1,1,0,1,1
7.217871500,1,1,1,1,1,1
7.217875667,1,1,1,1,0,1
7.217914375,1,1,1,1,1,1
7.217918500,1,1,1,1,1,0
7.217992250,1,1,1,1,1,1
7.217997125,0,1,1,1,1,1
7.218002333,1,1,1,1,1,1
7.218006458,1,0,1,1,1,1
7.218013958,1,1,1,1,1,1
7.218018083,1,1,0,1,1,1
7.218030167,1,1,1,1,1,1
7.218034292,1,1,1,0,1,1
7.218054750,1,1,1,1,1,1
7.218058917,1,1,1,1,0,1
7.218097667,1,1,1,1,1,1
7.218101750,1,1,1,1,1,0
7.218175542,1,1,1,1,1,1
7.218180375,0,1,1,1,1,1
7.218185625,1,1,1,1,1,1
7.218189750,1,0,1,1,1,1
7.218197250,1,1,1,1,1,1
7.218201333,1,1,0,1,1,1
7.218213417,1,1,1,1,1,1
7.218217583,1,1,1,0,1,1
7.218238042,1,1,1,1,1,1
7.218242208,1,1,1,1,0,1
7.218280917,1,1,1,1,1,1
7.218285042,1,1,1,1,1,0
7.218358750,1,1,1,1,1,1
7.218363625,0,1,1,1,1,1
7.218368833,1,1,1,1,1,1
7.218372958,1,0,1,1,1,1
7.218380500,1,1,1,1,1,1
