Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
2.628239750,1,1,1,1,1,1
2.628244292,1,0,1,1,1,1
2.628251792,1,1,1,1,1,1
2.628256292,1,1,0,1,1,1
2.628268458,1,1,1,1,1,1
2.628273000,1,1,1,0,1,1
2.628295167,1,1,1,1,1,1
2.628299708,1,1,1,1,0,1
2.628341125,1,1,1,1,1,1
2.628345625,1,1,1,1,1,0
2.628425583,1,1,1,1,1,1
2.628430833,0,1,1,1,1,1
2.628436042,1,1,1,1,1,1
2.628440542,1,0,1,1,1,1
2.628448083,1,1,1,1,1,1
2.628452583,1,1,0,1,1,1
2.628464708,1,1,1,1,1,1
2.628469250,1,1,1,0,1,1
2.628491417,1,1,1,1,1,1
2.628496000,1,1,1,1,0,1
2.628537375,1,1,1,1,1,1
2.628541917,1,1,1,1,1,0
2.628621875,1,1,1,1,1,1
2.628627125,0,1,1,1,1,1
2.628632292,1,1,1,1,1,1
2.628636833,1,0,1,1,1,1
2.628644333,1,1,1,1,1,1
2.628648833,1,1,0,1,1,1
2.628660958,1,1,1,1,1,1
2.628665542,1,1,1,0,1,1
2.628687667,1,1,1,1,1,1
2.628692250,1,1,1,1,0,1
2.628735167,1,1,1,1,1,1
2.628739917,1,1,1,1,1,0
2.628820000,1,1,1,1,1,1
2.628825250,0,1,1,1,1,1
2.628830417,1,1,1,1,1,1
2.628834958,1,0,1,1,1,1
2.628842458,1,1,1,1,1,1
2.628846958,1,1,0,1,1,1
2.628859083,1,1,1,1,1,1
2.628863667,1,1,1,0,1,1
2.628885792,1,1,1,1,1,1
2.628890375,1,1,1,1,0,1
2.628931750,1,1,1,1,1,1
2.628936292,1,1,1,1,1,0
2.629016208,1,1,1,1,1,1
2.629021458,0,1,1,1,1,1
2.629026625,1,1,1,1,1,1
2.629031167,1,0,1,1,1,1
2.629038667,1,1,1,1,1,1
2.629043167,1,1,0,1,1,1
2.629055333,1,1,1,1,1,1
2.629059875,1,1,1,0,1,1
2.629082042,1,1,1,1,1,1
2.629086583,1,1,1,1,0,1
2.629127958,1,1,1,1,1,1
2.629132500,1,1,1,1,1,0
2.629212417,1,1,1,1,1,1
2.629217667,0,1,1,1,1,1
2.629222833,1,1,1,1,1,1
2.629227375,1,0,1,1,1,1
2.629234875,1,1,1,1,1,1
2.629239375,1,1,0,1,1,1
2.629251542,1,1,1,1,1,1
2.629256083,1,1,1,0,1,1
2.629278250,1,1,1,1,1,1
2.629282792,1,1,1,1,0,1
2.629324208,1,1,1,1,1,1
2.629328708,1,1,1,1,1,0
2.629408625,1,1,1,1,1,1
2.629413917,0,1,1,1,1,1
2.629419083,1,1,1,1,1,1
2.629423583,1,0,1,1,1,1
2.629431125,1,1,1,1,1,1
2.629435625,1,1,0,1,1,1
2.629447750,1,1,1,1,1,1
2.629452292,1,1,1,0,1,1
2.629474458,1,1,1,1,1,1
2.629479042,1,1,1,1,0,1
2.629520417,1,1,1,1,1,1
2.629524958,1,1,1,1,1,0
2.629604875,1,1,1,1,1,1
2.629610125,0,1,1,1,1,1
2.629615292,1,1,1,1,1,1
2.629619833,1,0,1,1,1,1
2.629627333,1,1,1,1,1,1
2.629631833,1,1,0,1,1,1
2.629643958,1,1,1,1,1,1
2.629648542,1,1,1,0,1,1
2.629670667,1,1,1,1,1,1
2.629675250,1,1,1,1,0,1
2.629717042,1,1,1,1,1,1
2.629721792,1,1,1,1,1,0
2.629801792,1,1,1,1,1,1
2.629807042,0,1,1,1,1,1
2.629812250,1,1,1,1,1,1
2.629816792,1,0,1,1,1,1
2.629824333,1,1,1,1,1,1
2.629828792,1,1,0,1,1,1
2.629840958,1,1,1,1,1,1
2.629845500,1,1,1,0,1,1
2.629867667,1,1,1,1,1,1
2.629872208,1,1,1,1,0,1
2.629913625,1,1,1,1,1,1
2.629918125,1,1,1,1,1,0
2.629998042,1,1,1,1,1,1
2.630003333,0,1,1,1,1,1
2.630008500,1,1,1,1,1,1
2.630013000,1,0,1,1,1,1
2.630020542,1,1,1,1,1,1
2.630025042,1,1,0,1,1,1
2.630037167,1,1,1,1,1,1
2.630041750,1,1,1,0,1,1
2.630063875,1,1,1,1,1,1
2.630068458,1,1,1,1,0,1
2.630109833,1,1,1,1,1,1
2.630114375,1,1,1,1,1,0
2.630194292,1,1,1,1,1,1
2.630199542,0,1,1,1,1,1
2.630204708,1,1,1,1,1,1
2.630209250,1,0,1,1,1,1
2.630216750,1,1,1,1,1,1
2.630221250,1,1,0,1,1,1
2.630233417,1,1,1,1,1,1
2.630237958,1,1,1,0,1,1
2.630260125,1,1,1,1,1,1
2.630264667,1,1,1,1,0,1
2.630306083,1,1,1,1,1,1
2.630310583,1,1,1,1,1,0
2.630390500,1,1,1,1,1,1
2.630395792,0,1,1,1,1,1
2.630400958,1,1,1,1,1,1
2.630405458,1,0,1,1,1,1
2.630413000,1,1,1,1,1,1
2.630417500,1,1,0,1,1,1
2.630429625,1,1,1,1,1,1
2.630434208,1,1,1,0,1,1
2.630456333,1,1,1,1,1,1
2.630460917,1,1,1,1,0,1
2.630502292,1,1,1,1,1,1
2.630506833,1,1,1,1,1,0
2.630586750,1,1,1,1,1,1
2.630592000,0,1,1,1,1,1
2.630597167,1,1,1,1,1,1
2.630601708,1,0,1,1,1,1
2.630609208,1,1,1,1,1,1
2.630613708,1,1,0,1,1,1
2.630625833,1,1,1,1,1,1
2.630630417,1,1,1,0,1,1
2.630652542,1,1,1,1,1,1
2.630657125,1,1,1,1,0,1
2.630698875,1,1,1,1,1,1
2.630703625,1,1,1,1,1,0
2.630783625,1,1,1,1,1,1
2.630788875,0,1,1,1,1,1
2.630794083,1,1,1,1,1,1
2.630798583,1,0,1,1,1,1
2.630806125,1,1,1,1,1,1
2.630810625,1,1,0,1,1,1
2.630822750,1,1,1,1,1,1
2.630827292,1,1,1,0,1,1
2.630849458,1,1,1,1,1,1
2.630854000,1,1,1,1,0,1
2.630895417,1,1,1,1,1,1
2.630899917,1,1,1,1,1,0
2.630979833,1,1,1,1,1,1
2.630985125,0,1,1,1,1,1
2.630990292,1,1,1,1,1,1
2.630994792,1,0,1,1,1,1
2.631002333,1,1,1,1,1,1
2.631006833,1,1,0,1,1,1
2.631018958,1,1,1,1,1,1
2.631023542,1,1,1,0,1,1
2.631045667,1,1,1,1,1,1
2.631050250,1,1,1,1,0,1
2.631091625,1,1,1,1,1,1
2.631096167,1,1,1,1,1,0
2.631176083,1,1,1,1,1,1
2.631181333,0,1,1,1,1,1
2.631186542,1,1,1,1,1,1
2.631191042,1,0,1,1,1,1
2.631198583,1,1,1,1,1,1
2.631203083,1,1,0,1,1,1
2.631215208,1,1,1,1,1,1
2.631219750,1,1,1,0,1,1
2.631241917,1,1,1,1,1,1
2.631246500,1,1,1,1,0,1
2.631287875,1,1,1,1,1,1
2.631292417,1,1,1,1,1,0
2.631372333,1,1,1,1,1,1
2.631377583,0,1,1,1,1,1
2.631382750,1,1,1,1,1,1
2.631387292,1,0,1,1,1,1
2.631394792,1,1,1,1,1,1
2.631399292,1,1,0,1,1,1
2.631411458,1,1,1,1,1,1
2.631416000,1,1,1,0,1,1
2.631438125,1,1,1,1,1,1
2.631442708,1,1,1,1,0,1
2.631484083,1,1,1,1,1,1
2.631488625,1,1,1,1,1,0
2.631568542,1,1,1,1,1,1
2.631573792,0,1,1,1,1,1
2.631578958,1,1,1,1,1,1
2.631583500,1,0,1,1,1,1
2.631591000,1,1,1,1,1,1
2.631595500,1,1,0,1,1,1
2.631607667,1,1,1,1,1,1
2.631612208,1,1,1,0,1,1
2.631634375,1,1,1,1,1,1
2.631638917,1,1,1,1,0,1
2.631680333,1,1,1,1,1,1
2.631684833,1,1,1,1,1,0
2.631765125,1,1,1,1,1,1
2.631770583,0,1,1,1,1,1
2.631775833,1,1,1,1,1,1
2.631780375,1,0,1,1,1,1
2.631787917,1,1,1,1,1,1
2.631792417,1,1,0,1,1,1
2.631804542,1,1,1,1,1,1
2.631809125,1,1,1,0,1,1
2.631831250,1,1,1,1,1,1
2.631835833,1,1,1,1,0,1
2.631877208,1,1,1,1,1,1
2.631881750,1,1,1,1,1,0
2.631961667,1,1,1,1,1,1
2.631966917,0,1,1,1,1,1
2.631972083,1,1,1,1,1,1
2.631976625,1,0,1,1,1,1
2.631984125,1,1,1,1,1,1
2.631988625,1,1,0,1,1,1
2.632000792,1,1,1,1,1,1
2.632005333,1,1,1,0,1,1
2.632027500,1,1,1,1,1,1
2.632032042,1,1,1,1,0,1
2.632073417,1,1,1,1,1,1
2.632077958,1,1,1,1,1,0
2.632157875,1,1,1,1,1,1
2.632163125,0,1,1,1,1,1
2.632168292,1,1,1,1,1,1
2.632172833,1,0,1,1,1,1
2.632180333,1,1,1,1,1,1
2.632184833,1,1,0,1,1,1
2.632197000,1,1,1,1,1,1
2.632201542,1,1,1,0,1,1
2.632223708,1,1,1,1,1,1
2.632228250,1,1,1,1,0,1
2.632269625,1,1,1,1,1,1
2.632274167,1,1,1,1,1,0
2.632354083,1,1,1,1,1,1
2.632359333,0,1,1,1,1,1
2.632364500,1,1,1,1,1,1
2.632369042,1,0,1,1,1,1
2.632376542,1,1,1,1,1,1
2.632381042,1,1,0,1,1,1
2.632393167,1,1,1,1,1,1
2.632397750,1,1,1,0,1,1
2.632419875,1,1,1,1,1,1
2.632424458,1,1,1,1,0,1
2.632465833,1,1,1,1,1,1
2.632470375,1,1,1,1,1,0
2.632550292,1,1,1,1,1,1
2.632555542,0,1,1,1,1,1
2.632560708,1,1,1,1,1,1
2.632565250,1,0,1,1,1,1
2.632572750,1,1,1,1,1,1
2.632577250,1,1,0,1,1,1
2.632589417,1,1,1,1,1,1
2.632593958,1,1,1,0,1,1
2.632616125,1,1,1,1,1,1
2.632620667,1,1,1,1,0,1
2.632662083,1,1,1,1,1,1
2.632666583,1,1,1,1,1,0
2.632746875,1,1,1,1,1,1
2.632752333,0,1,1,1,1,1
2.632757625,1,1,1,1,1,1
2.632762125,1,0,1,1,1,1
2.632769708,1,1,1,1,1,1
2.632774208,1,1,0,1,1,1
2.632786333,1,1,1,1,1,1
2.632790875,1,1,1,0,1,1
2.632813042,1,1,1,1,1,1
2.632817625,1,1,1,1,0,1
2.632859000,1,1,1,1,1,1
2.632863542,1,1,1,1,1,0
2.632943500,1,1,1,1,1,1
2.632948750,0,1,1,1,1,1
2.632953917,1,1,1,1,1,1
2.632958458,1,0,1,1,1,1
2.632965958,1,1,1,1,1,1
2.632970458,1,1,0,1,1,1
2.632982625,1,1,1,1,1,1
2.632987167,1,1,1,0,1,1
2.633009333,1,1,1,1,1,1
2.633013875,1,1,1,1,0,1
2.633055292,1,1,1,1,1,1
2.633059833,1,1,1,1,1,0
