Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
10.437430208,1,1,1,1,1,1
10.437434042,1,1,1,1,0,1
10.437473042,1,1,1,1,1,1
10.437476875,1,1,1,1,1,0
10.437554208,1,1,1,1,1,1
10.437558208,0,1,1,1,1,1
10.437561250,1,1,1,1,1,1
10.437565042,1,0,1,1,1,1
10.437570500,1,1,1,1,1,1
10.437574333,1,1,0,1,1,1
10.437585208,1,1,1,1,1,1
10.437589000,1,1,1,0,1,1
10.437608833,1,1,1,1,1,1
10.437612667,1,1,1,1,0,1
10.437651667,1,1,1,1,1,1
10.437655458,1,1,1,1,1,0
10.437732792,1,1,1,1,1,1
10.437736833,0,1,1,1,1,1
10.437739875,1,1,1,1,1,1
10.437743667,1,0,1,1,1,1
10.437749125,1,1,1,1,1,1
10.437752958,1,1,0,1,1,1
10.437763167,1,1,1,1,1,1
10.437767000,1,1,1,0,1,1
10.437786833,1,1,1,1,1,1
10.437790667,1,1,1,1,0,1
10.437829625,1,1,1,1,1,1
10.437833458,1,1,1,1,1,0
10.437910792,1,1,1,1,1,1
10.437914833,0,1,1,1,1,1
10.437917875,1,1,1,1,1,1
10.437921667,1,0,1,1,1,1
10.437927125,1,1,1,1,1,1
10.437930917,1,1,0,1,1,1
10.437941167,1,1,1,1,1,1
10.437944958,1,1,1,0,1,1
10.437964792,1,1,1,1,1,1
10.437968625,1,1,1,1,0,1
10.438007625,1,1,1,1,1,1
10.438011458,1,1,1,1,1,0
10.438088750,1,1,1,1,1,1
10.438092792,0,1,1,1,1,1
10.438095833,1,1,1,1,1,1
10.438099625,1,0,1,1,1,1
10.438105083,1,1,1,1,1,1
10.438108875,1,1,0,1,1,1
10.438119125,1,1,1,1,1,1
10.438122917,1,1,1,0,1,1
10.438142750,1,1,1,1,1,1
10.438146583,1,1,1,1,0,1
10.438185583,1,1,1,1,1,1
10.438189417,1,1,1,1,1,0
10.438266750,1,1,1,1,1,1
10.438270750,0,1,1,1,1,1
10.438273792,1,1,1,1,1,1
10.438277583,1,0,1,1,1,1
10.438283042,1,1,1,1,1,1
10.438286875,1,1,0,1,1,1
10.438297083,1,1,1,1,1,1
10.438300917,1,1,1,0,1,1
10.438320750,1,1,1,1,1,1
10.438324583,1,1,1,1,0,1
10.438363542,1,1,1,1,1,1
10.438367375,1,1,1,1,1,0
10.438444708,1,1,1,1,1,1
10.438448708,0,1,1,1,1,1
10.438451792,1,1,1,1,1,1
10.438455583,1,0,1,1,1,1
10.438461042,1,1,1,1,1,1
10.438464833,1,1,0,1,1,1
10.438475083,1,1,1,1,1,1
10.438478875,1,1,1,0,1,1
10.438498708,1,1,1,1,1,1
10.438502542,1,1,1,1,0,1
10.438541542,1,1,1,1,1,1
10.438545333,1,1,1,1,1,0
10.438623333,1,1,1,1,1,1
10.438627333,0,1,1,1,1,1
10.438630417,1,1,1,1,1,1
10.438634208,1,0,1,1,1,1
10.438639667,1,1,1,1,1,1
10.438643458,1,1,0,1,1,1
10.438653708,1,1,1,1,1,1
10.438657500,1,1,1,0,1,1
10.438677333,1,1,1,1,1,1
10.438681167,1,1,1,1,0,1
10.438720167,1,1,1,1,1,1
10.438723958,1,1,1,1,1,0
10.438801292,1,1,1,1,1,1
10.438805333,0,1,1,1,1,1
10.438808375,1,1,1,1,1,1
10.438812167,1,0,1,1,1,1
10.438817625,1,1,1,1,1,1
10.438821458,1,1,0,1,1,1
10.438831708,1,1,1,1,1,1
10.438835500,1,1,1,0,1,1
10.438855333,1,1,1,1,1,1
10.438859167,1,1,1,1,0,1
10.438898167,1,1,1,1,1,1
10.438901958,1,1,1,1,1,0
10.438979333,1,1,1,1,1,1
10.438983333,0,1,1,1,1,1
10.438986375,1,1,1,1,1,1
10.438990208,1,0,1,1,1,1
10.438995625,1,1,1,1,1,1
10.438999458,1,1,0,1,1,1
10.439009708,1,1,1,1,1,1
10.439013500,1,1,1,0,1,1
10.439033333,1,1,1,1,1,1
10.439037167,1,1,1,1,0,1
10.439076167,1,1,1,1,1,1
10.439079958,1,1,1,1,1,0
10.439157292,1,1,1,1,1,1
10.439161333,0,1,1,1,1,1
10.439164375,1,1,1,1,1,1
10.439168167,1,0,1,1,1,1
10.439173625,1,1,1,1,1,1
10.439177458,1,1,0,1,1,1
10.439187667,1,1,1,1,1,1
10.439191500,1,1,1,0,1,1
10.439211333,1,1,1,1,1,1
10.439215167,1,1,1,1,0,1
10.439254167,1,1,1,1,1,1
10.439257958,1,1,1,1,1,0
10.439335292,1,1,1,1,1,1
10.439339333,0,1,1,1,1,1
10.439342375,1,1,1,1,1,1
10.439346167,1,0,1,1,1,1
10.439351625,1,1,1,1,1,1
10.439355417,1,1,0,1,1,1
10.439365667,1,1,1,1,1,1
10.439369458,1,1,1,0,1,1
10.439389292,1,1,1,1,1,1
10.439393125,1,1,1,1,0,1
10.439432125,1,1,1,1,1,1
10.439435958,1,1,1,1,1,0
10.439513292,1,1,1,1,1,1
10.439517292,0,1,1,1,1,1
10.439520375,1,1,1,1,1,1
10.439524167,1,0,1,1,1,1
10.439529625,1,1,1,1,1,1
10.439533417,1,1,0,1,1,1
10.439543667,1,1,1,1,1,1
10.439547458,1,1,1,0,1,1
10.439567292,1,1,1,1,1,1
10.439571125,1,1,1,1,0,1
10.439610792,1,1,1,1,1,1
10.439614583,1,1,1,1,1,0
10.439691917,1,1,1,1,1,1
10.439695958,0,1,1,1,1,1
10.439699000,1,1,1,1,1,1
10.439702792,1,0,1,1,1,1
10.439708250,1,1,1,1,1,1
10.439712042,1,1,0,1,1,1
10.439722292,1,1,1,1,1,1
10.439726125,1,1,1,0,1,1
10.439745958,1,1,1,1,1,1
10.439749792,1,1,1,1,0,1
10.439788792,1,1,1,1,1,1
10.439792583,1,1,1,1,1,0
10.439869917,1,1,1,1,1,1
10.439873958,0,1,1,1,1,1
10.439877000,1,1,1,1,1,1
10.439880792,1,0,1,1,1,1
10.439886250,1,1,1,1,1,1
10.439890042,1,1,0,1,1,1
10.439900292,1,1,1,1,1,1
10.439904083,1,1,1,0,1,1
10.439923917,1,1,1,1,1,1
10.439927750,1,1,1,1,0,1
10.439966750,1,1,1,1,1,1
10.439970542,1,1,1,1,1,0
10.440047917,1,1,1,1,1,1
10.440051917,0,1,1,1,1,1
10.440054958,1,1,1,1,1,1
10.440058792,1,0,1,1,1,1
10.440064208,1,1,1,1,1,1
10.440068042,1,1,0,1,1,1
10.440078292,1,1,1,1,1,1
10.440082083,1,1,1,0,1,1
10.440101917,1,1,1,1,1,1
10.440105750,1,1,1,1,0,1
10.440144750,1,1,1,1,1,1
10.440148542,1,1,1,1,1,0
10.440225875,1,1,1,1,1,1
10.440229917,0,1,1,1,1,1
10.440232958,1,1,1,1,1,1
10.440236750,1,0,1,1,1,1
10.440242208,1,1,1,1,1,1
10.440246000,1,1,0,1,1,1
10.440256250,1,1,1,1,1,1
10.440260042,1,1,1,0,1,1
10.440279875,1,1,1,1,1,1
10.440283708,1,1,1,1,0,1
10.440322708,1,1,1,1,1,1
10.440326500,1,1,1,1,1,0
10.440403833,1,1,1,1,1,1
10.440407875,0,1,1,1,1,1
10.440410917,1,1,1,1,1,1
10.440414708,1,0,1,1,1,1
10.440420167,1,1,1,1,1,1
10.440424000,1,1,0,1,1,1
10.440434208,1,1,1,1,1,1
10.440438042,1,1,1,0,1,1
10.440457875,1,1,1,1,1,1
10.440461708,1,1,1,1,0,1
10.440500708,1,1,1,1,1,1
10.440504500,1,1,1,1,1,0
10.440582500,1,1,1,1,1,1
10.440586542,0,1,1,1,1,1
10.440589583,1,1,1,1,1,1
10.440593375,1,0,1,1,1,1
10.440598833,1,1,1,1,1,1
10.440602625,1,1,0,1,1,1
10.440612875,1,1,1,1,1,1
10.440616667,1,1,1,0,1,1
10.440636500,1,1,1,1,1,1
10.440640333,1,1,1,1,0,1
10.440679333,1,1,1,1,1,1
10.440683167,1,1,1,1,1,0
10.440760500,1,1,1,1,1,1
10.440764500,0,1,1,1,1,1
10.440767583,1,1,1,1,1,1
10.440771375,1,0,1,1,1,1
10.440776833,1,1,1,1,1,1
10.440780625,1,1,0,1,1,1
10.440790875,1,1,1,1,1,1
10.440794667,1,1,1,0,1,1
10.440814500,1,1,1,1,1,1
10.440818333,1,1,1,1,0,1
10.440857333,1,1,1,1,1,1
10.440861125,1,1,1,1,1,0
10.440938500,1,1,1,1,1,1
10.440942500,0,1,1,1,1,1
10.440945542,1,1,1,1,1,1
10.440949333,1,0,1,1,1,1
10.440954792,1,1,1,1,1,1
10.440958625,1,1,0,1,1,1
10.440968875,1,1,1,1,1,1
10.440972667,1,1,1,0,1,1
10.440992500,1,1,1,1,1,1
10.440996333,1,1,1,1,0,1
10.441035333,1,1,1,1,1,1
10.441039125,1,1,1,1,1,0
10.441116500,1,1,1,1,1,1
10.441120500,0,1,1,1,1,1
10.441123542,1,1,1,1,1,1
10.441127375,1,0,1,1,1,1
10.441132792,1,1,1,1,1,1
10.441136625,1,1,0,1,1,1
10.441146875,1,1,1,1,1,1
10.441150667,1,1,1,0,1,1
10.441170500,1,1,1,1,1,1
10.441174333,1,1,1,1,0,1
10.441213333,1,1,1,1,1,1
10.441217167,1,1,1,1,1,0
10.441294500,1,1,1,1,1,1
10.441298500,0,1,1,1,1,1
10.441301583,1,1,1,1,1,1
10.441305375,1,0,1,1,1,1
10.441310833,1,1,1,1,1,1
10.441314625,1,1,0,1,1,1
10.441324875,1,1,1,1,1,1
10.441328667,1,1,1,0,1,1
10.441348500,1,1,1,1,1,1
10.441352333,1,1,1,1,0,1
10.441391333,1,1,1,1,1,1
10.441395125,1,1,1,1,1,0
10.441472500,1,1,1,1,1,1
10.441476500,0,1,1,1,1,1
10.441479583,1,1,1,1,1,1
10.441483375,1,0,1,1,1,1
10.441488833,1,1,1,1,1,1
10.441492625,1,1,0,1,1,1
10.441502875,1,1,1,1,1,1
10.441506667,1,1,1,0,1,1
10.441526500,1,1,1,1,1,1
10.441530333,1,1,1,1,0,1
10.441570000,1,1,1,1,1,1
10.441573792,1,1,1,1,1,0
10.441651167,1,1,1,1,1,1
10.441655167,0,1,1,1,1,1
10.441658208,1,1,1,1,1,1
10.441662000,1,0,1,1,1,1
10.441667458,1,1,1,1,1,1
10.441671292,1,1,0,1,1,1
10.441681542,1,1,1,1,1,1
10.441685333,1,1,1,0,1,1
10.441705167,1,1,1,1,1,1
10.441709000,1,1,1,1,0,1
10.441748000,1,1,1,1,1,1
10.441751792,1,1,1,1,1,0
10.441829167,1,1,1,1,1,1
10.441833167,0,1,1,1,1,1
10.441836208,1,1,1,1,1,1
10.441840042,1,0,1,1,1,1
10.441845458,1,1,1,1,1,1
10.441849292,1,1,0,1,1,1
10.441859542,1,1,1,1,1,1
10.441863333,1,1,1,0,1,1
10.441883167,1,1,1,1,1,1
10.441887000,1,1,1,1,0,1
10.441926000,1,1,1,1,1,1
10.441929833,1,1,1,1,1,0
10.442007125,1,1,1,1,1,1
10.442011167,0,1,1,1,1,1
10.442014208,1,1,1,1,1,1
10.442018000,1,0,1,1,1,1
10.442023458,1,1,1,1,1,1
10.442027292,1,1,0,1,1,1
10.442037500,1,1,1,1,1,1
10.442041333,1,1,1,0,1,1
10.442061167,1,1,1,1,1,1
10.442065000,1,1,1,1,0,1
10.442104000,1,1,1,1,1,1
10.442107792,1,1,1,1,1,0
10.442185125,1,1,1,1,1,1
10.442189167,0,1,1,1,1,1
10.442192208,1,1,1,1,1,1
10.442196000,1,0,1,1,1,1
10.442201458,1,1,1,1,1,1
10.442205250,1,1,0,1,1,1
10.442215500,1,1,1,1,1,1
10.442219333,1,1,1,0,1,1
10.442239167,1,1,1,1,1,1
10.442243000,1,1,1,1,0,1
10.442282000,1,1,1,1,1,1
10.442285792,1,1,1,1,1,0
10.442363167,1,1,1,1,1,1
10.442367167,0,1,1,1,1,1
10.442370250,1,1,1,1,1,1
10.442374042,1,0,1,1,1,1
10.442379500,1,1,1,1,1,1
10.442383292,1,1,0,1,1,1
10.442393542,1,1,1,1,1,1
10.442397333,1,1,1,0,1,1
10.442417167,1,1,1,1,1,1
10.442421000,1,1,1,1,0,1
10.442460000,1,1,1,1,1,1
10.442463792,1,1,1,1,1,0
10.442541125,1,1,1,1,1,1
10.442545167,0,1,1,1,1,1
10.442548208,1,1,1,1,1,1
10.442552042,1,0,1,1,1,1
10.442557458,1,1,1,1,1,1
10.442561292,1,1,0,1,1,1
10.442572167,1,1,1,1,1,1
10.442576000,1,1,1,0,1,1
10.442595833,1,1,1,1,1,1
10.442599667,1,1,1,1,0,1
10.442638667,1,1,1,1,1,1
10.442642458,1,1,1,1,1,0
10.442719792,1,1,1,1,1,1
10.442723833,0,1,1,1,1,1
10.442726875,1,1,1,1,1,1
10.442730667,1,0,1,1,1,1
10.442736125,1,1,1,1,1,1
10.442739917,1,1,0,1,1,1
10.442750167,1,1,1,1,1,1
10.442754000,1,1,1,0,1,1
10.442773833,1,1,1,1,1,1
10.442777667,1,1,1,1,0,1
10.442816667,1,1,1,1,1,1
10.442820458,1,1,1,1,1,0
10.442897833,1,1,1,1,1,1
10.442901833,0,1,1,1,1,1
10.442904917,1,1,1,1,1,1
10.442908708,1,0,1,1,1,1
10.442914167,1,1,1,1,1,1
10.442917958,1,1,0,1,1,1
10.442928208,1,1,1,1,1,1
10.442932000,1,1,1,0,1,1
10.442951833,1,1,1,1,1,1
10.442955667,1,1,1,1,0,1
10.442994667,1,1,1,1,1,1
10.442998458,1,1,1,1,1,0
10.443075833,1,1,1,1,1,1
10.443079833,0,1,1,1,1,1
10.443082875,1,1,1,1,1,1
10.443086667,1,0,1,1,1,1
10.443092125,1,1,1,1,1,1
10.443095958,1,1,0,1,1,1
10.443106208,1,1,1,1,1,1
10.443110000,1,1,1,0,1,1
10.443129833,1,1,1,1,1,1
10.443133667,1,1,1,1,0,1
10.443172667,1,1,1,1,1,1
10.443176458,1,1,1,1,1,0
10.443253792,1,1,1,1,1,1
10.443257833,0,1,1,1,1,1
10.443260875,1,1,1,1,1,1
10.443264667,1,0,1,1,1,1
10.443270125,1,1,1,1,1,1
10.443273958,1,1,0,1,1,1
10.443284167,1,1,1,1,1,1
10.443288000,1,1,1,0,1,1
10.443307833,1,1,1,1,1,1
10.443311667,1,1,1,1,0,1
10.443350667,1,1,1,1,1,1
10.443354458,1,1,1,1,1,0
10.443431792,1,1,1,1,1,1
10.443435833,0,1,1,1,1,1
10.443438875,1,1,1,1,1,1
10.443442667,1,0,1,1,1,1
10.443448125,1,1,1,1,1,1
10.443451958,1,1,0,1,1,1
10.443462167,1,1,1,1,1,1
10.443466000,1,1,1,0,1,1
10.443485833,1,1,1,1,1,1
10.443489667,1,1,1,1,0,1
10.443528667,1,1,1,1,1,1
10.443532458,1,1,1,1,1,0
10.443610417,1,1,1,1,1,1
10.443614458,0,1,1,1,1,1
10.443617500,1,1,1,1,1,1
10.443621292,1,0,1,1,1,1
10.443626750,1,1,1,1,1,1
10.443630583,1,1,0,1,1,1
10.443640792,1,1,1,1,1,1
10.443644625,1,1,1,0,1,1
10.443664458,1,1,1,1,1,1
10.443668292,1,1,1,1,0,1
10.443707292,1,1,1,1,1,1
10.443711083,1,1,1,1,1,0
10.443788417,1,1,1,1,1,1
10.443792458,0,1,1,1,1,1
10.443795500,1,1,1,1,1,1
10.443799292,1,0,1,1,1,1
10.443804750,1,1,1,1,1,1
10.443808542,1,1,0,1,1,1
10.443818792,1,1,1,1,1,1
10.443822625,1,1,1,0,1,1
10.443842417,1,1,1,1,1,1
10.443846250,1,1,1,1,0,1
10.443885250,1,1,1,1,1,1
10.443889083,1,1,1,1,1,0
10.443966417,1,1,1,1,1,1
10.443970417,0,1,1,1,1,1
10.443973458,1,1,1,1,1,1
10.443977292,1,0,1,1,1,1
10.443982708,1,1,1,1,1,1
10.443986542,1,1,0,1,1,1
10.443996792,1,1,1,1,1,1
10.444000583,1,1,1,0,1,1
10.444020417,1,1,1,1,1,1
10.444024250,1,1,1,1,0,1
10.444063250,1,1,1,1,1,1
10.444067042,1,1,1,1,1,0
10.444144375,1,1,1,1,1,1
10.444148417,0,1,1,1,1,1
10.444151458,1,1,1,1,1,1
10.444155250,1,0,1,1,1,1
10.444160708,1,1,1,1,1,1
10.444164500,1,1,0,1,1,1
10.444174750,1,1,1,1,1,1
