Time (s),Channel 1 (V)
1.38964488,-0.0008095127087391468
1.39013316,-0.0008095127087391468
1.39062144,-0.0008095127087391468
1.39110972,-0.0008095127087391468
1.391598,-0.0008095127087391468
1.39208628,-0.0008095127087391468
1.39257456,-0.0008095127087391468
1.39306284,-0.0008095127087391468
1.39355112,-0.0008095127087391468
1.3940394,-0.0008095127087391468
1.39452768,-0.0008095127087391468
1.39501596,-0.0008095127087391468
1.39550424,-0.0008095127087391468
1.39599252,-0.0008095127087391468
1.3964808,-0.0008095127087391468
1.39696908,-0.0008095127087391468
1.39745736,-0.0008095127087391468
1.39794564,-0.0008095127087391468
1.39843392,-0.0008095127087391468
1.3989222,-0.0008095127087391468
1.39941048,-0.0008095127087391468
1.39989876,-0.001143456530597758
1.40038704,-0.001143456530597758
1.40087532,-0.0008095127087391468
1.4013636,-0.0008095127087391468
1.40185188,-0.0008095127087391468
1.40234016,-0.001143456530597758
1.40282844,-0.001143456530597758
1.40331672,-0.0008095127087391468
1.403805,-0.001143456530597758
1.40429328,-0.001143456530597758
1.40478156,-0.0008095127087391468
1.40526984,-0.001143456530597758
1.40575812,-0.0008095127087391468
1.4062464,-0.0008095127087391468
1.40673468,-0.001143456530597758
1.40722296,-0.001143456530597758
1.40771124,-0.001143456530597758
1.40819952,-0.001143456530597758
1.4086878,-0.0008095127087391468
1.40917608,-0.0008095127087391468
1.40966436,-0.001143456530597758
1.41015264,-0.0008095127087391468
1.41064092,-0.001143456530597758
1.4111292,-0.0008095127087391468
1.41161748,-0.0008095127087391468
1.41210576,-0.0008095127087391468
1.41259404,-0.0008095127087391468
1.41308232,-0.0008095127087391468
1.4135706,-0.001143456530597758
1.41405888,-0.0008095127087391468
1.41454716,-0.001143456530597758
1.41503544,-0.0008095127087391468
1.41552372,-0.0008095127087391468
1.416012,-0.001143456530597758
1.41650028,-0.001143456530597758
1.41698856,-0.001143456530597758
1.41747684,-0.001143456530597758
1.41796512,-0.001143456530597758
1.4184534,-0.001143456530597758
1.41894168,-0.001143456530597758
1.41942996,-0.0008095127087391468
1.41991824,-0.001143456530597758
1.42040652,-0.001143456530597758
1.4208948,-0.001143456530597758
1.42138308,-0.001143456530597758
1.42187136,-0.001143456530597758
1.42235964,-0.001143456530597758
1.42284792,-0.001143456530597758
1.4233362,-0.001143456530597758
1.42382448,-0.001143456530597758
1.42431276,-0.001143456530597758
1.42480104,-0.001143456530597758
1.42528932,-0.001143456530597758
1.4257776,-0.001143456530597758
1.42626588,-0.001143456530597758
1.42675416,-0.001143456530597758
1.42724244,-0.001143456530597758
1.42773072,-0.001143456530597758
1.428219,-0.001143456530597758
1.42870728,-0.001143456530597758
1.42919556,-0.001143456530597758
1.42968384,-0.001143456530597758
1.43017212,-0.001143456530597758
1.4306604,-0.001143456530597758
1.43114868,-0.001143456530597758
1.43163696,-0.001143456530597758
1.43212524,-0.0008095127087391468
1.43261352,-0.001143456530597758
1.4331018,-0.001143456530597758
1.43359008,-0.0008095127087391468
1.43407836,-0.001143456530597758
1.43456664,-0.0008095127087391468
1.43505492,-0.0008095127087391468
1.4355432,-0.001143456530597758
1.43603148,-0.0008095127087391468
1.43651976,-0.001143456530597758
1.43700804,-0.0008095127087391468
1.43749632,-0.0008095127087391468
1.4379846,-0.0008095127087391468
1.43847288,-0.001143456530597758
1.43896116,-0.001143456530597758
1.43944944,-0.0008095127087391468
1.43993772,-0.0008095127087391468
1.440426,-0.001143456530597758
1.44091428,-0.001143456530597758
1.44140256,-0.001143456530597758
1.44189084,-0.0008095127087391468
1.44237912,-0.001143456530597758
1.4428674,-0.001143456530597758
1.44335568,-0.001143456530597758
1.44384396,-0.001143456530597758
1.44433224,-0.001143456530597758
1.44482052,-0.001143456530597758
1.4453088,-0.001143456530597758
1.44579708,-0.001143456530597758
1.44628536,-0.001143456530597758
1.44677364,-0.001143456530597758
1.44726192,-0.001143456530597758
1.4477502,-0.001143456530597758
1.44823848,-0.001143456530597758
1.44872676,-0.001143456530597758
1.44921504,-0.0008095127087391468
1.44970332,-0.001143456530597758
1.4501916,-0.001143456530597758
1.45067988,-0.001143456530597758
1.45116816,-0.001143456530597758
1.45165644,-0.001143456530597758
1.45214472,-0.0008095127087391468
1.452633,-0.0008095127087391468
1.45312128,-0.001143456530597758
1.45360956,-0.0008095127087391468
1.45409784,-0.001143456530597758
1.45458612,-0.001143456530597758
1.4550744,-0.001143456530597758
1.45556268,-0.001143456530597758
1.45605096,-0.001143456530597758
1.45653924,-0.0008095127087391468
1.45702752,-0.001143456530597758
1.4575158,-0.001143456530597758
1.45800408,-0.0008095127087391468
1.45849236,-0.0008095127087391468
1.45898064,-0.001143456530597758
1.45946892,-0.001143456530597758
1.4599572,-0.0008095127087391468
1.46044548,-0.0008095127087391468
1.46093376,-0.001143456530597758
1.46142204,-0.001143456530597758
1.46191032,-0.0008095127087391468
1.4623986,-0.001143456530597758
1.46288688,-0.001143456530597758
1.46337516,-0.0008095127087391468
1.46386344,-0.0008095127087391468
1.46435172,-0.0008095127087391468
1.46484,-0.001143456530597758
1.46532828,-0.001143456530597758
1.46581656,-0.001143456530597758
1.46630484,-0.001143456530597758
1.46679312,-0.001143456530597758
1.4672814,-0.001143456530597758
1.46776968,-0.001143456530597758
1.46825796,-0.001143456530597758
1.46874624,-0.001143456530597758
1.46923452,-0.001143456530597758
1.4697228,-0.0008095127087391468
1.47021108,-0.001143456530597758
1.47069936,-0.001143456530597758
1.47118764,-0.001143456530597758
1.47167592,-0.001143456530597758
1.4721642,-0.0008095127087391468
1.47265248,-0.0008095127087391468
1.47314076,-0.001143456530597758
1.47362904,-0.0008095127087391468
1.47411732,-0.0008095127087391468
1.4746056,-0.0008095127087391468
1.47509388,-0.0008095127087391468
1.47558216,-0.0008095127087391468
1.47607044,-0.0008095127087391468
1.47655872,-0.0008095127087391468
1.477047,-0.0008095127087391468
1.47753528,-0.0008095127087391468
1.47802356,-0.0008095127087391468
1.47851184,-0.0008095127087391468
1.47900012,-0.001143456530597758
1.4794884,-0.001143456530597758
1.47997668,-0.001143456530597758
1.48046496,-0.001143456530597758
1.48095324,-0.001143456530597758
1.48144152,-0.001143456530597758
1.4819298,-0.001143456530597758
1.48241808,-0.001143456530597758
1.48290636,-0.0008095127087391468
1.48339464,-0.0008095127087391468
1.48388292,-0.0008095127087391468
1.4843712,-0.0008095127087391468
1.48485948,-0.001143456530597758
1.48534776,-0.0008095127087391468
1.48583604,-0.0008095127087391468
1.48632432,-0.0008095127087391468
1.4868126,-0.001143456530597758
1.48730088,-0.0008095127087391468
1.48778916,-0.001143456530597758
1.48827744,-0.0008095127087391468
1.48876572,-0.0008095127087391468
1.489254,-0.001143456530597758
